Food Item,Serving Location
Chicken Vegetable Soup,Greens & Grains
Chicken with Red Curry Sauce,International
Chilaquiles (No Egg),The Brick
Chile Salsa ,International
Chimichurri Sauce ,The Grill
Chinese Chicken Salad Wrap,Greens & Grains
Chipotle Aioli ,The Grill
Chocolate Chip Banana Bread Pudding ,Bakery
Chocolate Chocolate Chip Bar ,Bakery
Chocolate Cookie ,Bakery
Chocolate Flourless Cake ,Bakery
Chocolate Mint Cupcake ,Bakery
Cilantro & Onion Mix ,International
Cinnamon Coffee Cake ,Bakery
Cinnamon Maple Granola ,Greens & Grains
Classic BBQ Sauce ,The Grill
Coconut Chiffon Cake ,Bakery
Confetti Cake with Buttercream ,Bakery
Corn Pasta Sauce ,The Brick
Cornmeal Berry Cake ,Bakery
Cornmeal Waffle ,Greens & Grains
Cottage Fried Potatoes ,The Grill
Couscous w/Butternut Squash ,Chef's Choice
Cream Cheese ,Bakery
Cream Cheese Brownie Pie ,Bakery
Cream Cheese Pie ,Bakery
Cream of Wheat ,Greens & Grains
Creamed Spinach ,Chef's Choice
Creamy Chipotle Salsa ,Chef's Choice
Creamy Pesto Sauce ,The Brick
Crinkle Cut French Fries ,The Grill
Crunchy Fruit Salad ,Greens & Grains
Crusty French Bread ,Bakery
Cucumber & Avocado Roll ,International
Daikon Roll ,International
Dilled Vegetable Barley Soup ,Greens & Grains
Dragon Noodles ,Greens & Grains
Egg White and Vegetable Omelet ,The Grill
Eggplant Parmesan Casserole ,The Grill
Farfalle Pasta ,The Brick
Fettuccine Alfredo ,The Brick
Fettuccine Pasta ,The Brick
Fire Roasted Tomato Chipotle Salsa ,The Grill
Fire Roasted Tomato Salsa ,Chef's Choice
Fish Sandwich on Potato Bun,The Grill
Flame Seedless Grape,Greens & Grains
Flour Tortilla ,Bakery
Fluffy Almond Sugar Cookie ,Bakery
Fluffy Whole Wheat Waffles ,Greens & Grains
French Toast w/ Strawberry Sauce ,The Grill
Fresh Basil Pesto ,The Brick
Fresh Cage Free Scrambled Eggs ,The Grill
Fresh Cauliflower ,The Grill
Fresh Cauliflower & Carrots ,The Grill
Fresh Green Beans ,Chef's Choice
Fresh Green Beans with Garlic ,Chef's Choice
Fresh Mashed Potatoes ,Chef's Choice
Fresh Sauteed Spinach ,The Grill
Fresh Spinach with Garlic ,Chef's Choice
Fresh Strawberry ,Greens & Grains
Fresh Tomato Basil Garlic Pasta ,The Brick
Fresh Tomato Basil Sauce ,The Brick
Fresh Vegetable Medley ,International
Fresh Vegetable Medley w/Spinach ,The Grill
Fried Eggs ,Chef's Choice
Garlic French Bread ,Chef's Choice
Garlic Pizza on Wheat ,The Brick
Garlic Roasted Red Potatoes ,Chef's Choice
German Chocolate Cake  ,Bakery
Granola Bar  ,Bakery
Granola Black & Blue Parfait ,Greens & Grains
Granola Cantaloupe Parfait ,Greens & Grains
Granola Honeydew Parfait ,Greens & Grains
