Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Spicy Tuna Roll,Shanghai Noodles & Chix w/Bean Sauce,International,Grilled Pineapple/Mango Salsa (vgn),International,Tempura Onion Roll (v),International,Hunan Noodles with Spicy Pork Sauce,International
Grilled Turkey Burger,Grass Fed Burger,The Grill,Cheeseburger,The Grill,Hamburger,The Grill,Black Bean Burger (vgn),The Grill
Mushroom Tofu Veggie Slider (w/nuts) (v),Eggplant Parmesan Casserole ,The Grill,Steak Fries (vgn),The Grill,Crinkle Cut French Fries (vgn),The Grill,Mexican Scrambled Eggs ,The Grill
Crinkle Cut French Fries (vgn),Mexican Scrambled Eggs ,The Grill,Steak Fries (vgn),The Grill,Fresh Cauliflower & Carrots ,The Grill,Huevos Rancheros ,The Grill
Spicy Mustard Sauce (vgn),Chimichurri Sauce (vgn),The Grill,Tartar Sauce ,The Grill,Red Chimichurri Sauce (vgn),The Grill,Chimichurri Sauce ,The Grill
Butternut Squash Risotto (v),Linguini with Pesto (v),The Brick,Roasted Chicken & Zucchini Marinara,The Brick,Maple Syrup ,The Brick,Rigatoni Mozzarella ,The Brick
Whole Wheat Penne Pasta (vgn),Pasta with Grilled Vegetables (vgn),The Brick,Fresh Tomato Basil Garlic Pasta (vgn),The Brick,Pasta with Grilled Vegetables ,The Brick,Chickpea Pasta,The Brick
Sticky Toffee Pudding (vgn),Chocolate Pudding (v),Bakery,Apple Crisp ,Bakery,Assorted Bagels & Condiments,Bakery,Apple Kuchen ,Bakery
Rosemary Roasted Chicken Quarters,Carrots with Fresh Thyme (vgn),Chef's Choice,Steamed Broccoli & Cauliflower (vgn),Chef's Choice,Meatloaf,Chef's Choice,Calabaza con Queso,Chef's Choice
Chipotle Roasted Potatoes (vgn),Roasted Potato Wedges ,Chef's Choice,Vegetable Fajita ,Chef's Choice,Refried Black Beans (vgn),Chef's Choice,Potato Gorda with Black Beans ,Chef's Choice
Ratatouille (vgn),Cilantro & Onion Mix (vgn),Chef's Choice,Mojo Roasted Chicken (Pollo Asado),Chef's Choice,Chicken White Bean Chili,Chef's Choice,Chicken & Dumplings,Chef's Choice
Sauteed Cabbage & Carrots (vgn),Ropa Vieja,Chef's Choice,Carrot & Zucchini with Lemon Butter ,Chef's Choice,Herb Marinated Rotisserie Chicken,Chef's Choice,Ground Beef and Bean Tostada,Chef's Choice
Teriyaki Broccoli Beef Stir Fry,Broccoli Spinach Bok Choy Stir Fry (vgn),International,Vegetable Medley Stir Fry ,International,Teriyaki Chicken Stir Fry,International,Broccoli Spinach Bok Choy Stir Fry ,International
Broccoli Spinach Bok Choy Stir Fry (vgn),Vegetable Medley Stir Fry ,International,Teriyaki Broccoli Beef Stir Fry,International,Teriyaki Chicken Stir Fry,International,Broccoli Spinach Bok Choy Stir Fry ,International
Tofu Teriyaki Bowl (vgn),Vietnamese Turkey Banh Mi,International,Spicy Scallop Sushi Plate,International,Beef Pad Thai with Peanuts (w/nuts),International,Fried Noodles (v),International
Spicy Tuna Sushi Plate,Spicy Shrimp Sushi,International,Stir Fried Bok Choy (vgn),International,Steamed Broccoli & Cauliflower ,International,Pork Mu Shu,International
Vanilla Yogurt (v),Raspberry Yogurt ,Greens & Grains,Peach Yogurt ,Greens & Grains,Seedless Red Grape (vgn),Greens & Grains,Swiss Cheese,Greens & Grains
Sliced Pineapple (vgn),Blueberry Yogurt (v),Greens & Grains,Sliced Swiss Cheese (v),Greens & Grains,Sopa de Marisco (gf),Greens & Grains,Buckwheat Granola (w/nuts) (v),Greens & Grains
Quinoa Breakfast Bowl (w/nuts) (v),Granola Black & Blue Parfait ,Greens & Grains,Peanut Butter & Banana Oats  ,Greens & Grains,Pineapple ,Greens & Grains,Chicken Congee,Greens & Grains
Oatmeal (vgn),Oatmeal ,Greens & Grains,Fluffy Whole Wheat Waffles (v),Greens & Grains,Bulgur Hot Cereal (vgn),Greens & Grains,Bulgur Hot Cereal ,Greens & Grains
Cornbread Muffin (v),Applesauce Coffee Cake (v),Bakery,Pecan Sour Cream Coffee Cake (w/nuts)(v),Bakery,Blueberry Coffee Cake ,Bakery,Peanut Butter Fudge Cupcake  ,Bakery
Pecan Sour Cream Coffee Cake (w/nuts)(v),Applesauce Coffee Cake (v),Bakery,Cornbread Muffin (v),Bakery,Blueberry Coffee Cake ,Bakery,Peanut Butter Fudge Cupcake  ,Bakery
Grilled Ham,Steamed Fresh Broccoli (vgn),The Grill,Sriracha Mayonnaise (v),The Grill,Cage Free Scrambled Egg Whites ,The Grill,Brussel Hash ,The Grill
Blueberry Pancakes (v),Apple Cranberry Pancake Topping ,The Grill,Banana Chocolate Chip Pancakes (v),The Grill,Whole Wheat Banana Pancake (v),The Grill,Whole Wheat Pancake (v),The Grill
Potatoes O'Brien (vgn),Roasted Vegetables ,The Grill,Roasted Breakfast Potato ,The Grill,Fresh Vegetable Medley w/Spinach ,The Grill,Mixed Greens Side Salad (vgn),The Grill
Strawberry Salad w/Poppyseed Dressing(v),Baked Sweet Potato ,Greens & Grains,Baby Spinach (vgn),Greens & Grains,Marinated Broccoli & Bean Salad (vgn),Greens & Grains,Jasmine Rice (vgn),Greens & Grains
Italian Panini,Dragon Noodles ,Greens & Grains,Granola Raspberry Parfait (v),Greens & Grains,Granola Cantaloupe Parfait (v),Greens & Grains,Sliced Cheddar Cheese ,Greens & Grains
Sliced Ham,Seedless Red Grape ,Greens & Grains,Whole Plain Greek Yogurt ,Greens & Grains,Rainbow Peanut Noodles w/Chicken(w/nuts),Greens & Grains,Sliced Pineapple ,Greens & Grains
Sliced Jack Cheese (v),Sliced Cheddar Cheese (v),Greens & Grains,Sliced Swiss Cheese ,Greens & Grains,Watermelon ,Greens & Grains,Spicy Kale Caesar ,Greens & Grains
Basmati Rice (vgn),Quinoa Salad ,Greens & Grains,Baked Sweet Potato (vgn),Greens & Grains,Steamed White Rice ,Greens & Grains,Zucchini Quinoa Green Bean Salad ,Greens & Grains
Turkey Rice Soup,Tortilla Soup (vgn),Greens & Grains,Tortilla Soup ,Greens & Grains,Minestrone Soup ,Greens & Grains,Sweet Potato Coconut Soup (vgn),Greens & Grains
Quattro Formaggio Pizza on Wheat (v),Pepperoni Pizza,The Brick,Taco Pizza,The Brick,Chicken Florentine Pizza w/White Sauce,The Brick,Salami Pizza,The Brick
Roasted Pepper Tomato Sausage Sauce,Marinara Sauce with Sausage,The Brick,Alburro Sauce (v),The Brick,White Wine Garlic Sauce with Chicken,The Brick,Greek Tomato Sauce ,The Brick
Spaghetti (vgn),Fettucine Alfredo,The Brick,Mushroom Carbonara ,The Brick,Fresh Basil Pesto (v),The Brick,Chilaquiles (No Egg),The Brick
Creamy Pesto Sauce (v),Bolognaise Sauce,The Brick,Fresh Tomato Basil Sauce ,The Brick,Caprese Flatbread w/Balsamic Reduction,The Brick,Tomato and Roasted Garlic Sauce (vgn),The Brick
Three Grain Bread (v),Blueberry Bread ,Bakery,Flour Tortilla ,Bakery,Russian Bread (v),Bakery,Herb Focaccia Bread ,Bakery
Lemon Cookie (v),Applesauce Coffee Cake (v),Bakery,Cornbread Muffin (v),Bakery,Blueberry Coffee Cake ,Bakery,Peanut Butter Fudge Cupcake  ,Bakery
Killer Brownie (w/nuts) (v),Mexican Chocolate Cake (v),Bakery,Mint Chocolate Chip Cookie ,Bakery,Mocha Cupcake (v),Bakery,Blueberry Scone ,Bakery
Chicken Mole,Chili Mango Bok Choy Slaw (vgn),Chef's Choice,Kale with Fresh Garlic ,Chef's Choice,Sauteed Kale (vgn),Chef's Choice,Baked Rigatoni ,Chef's Choice
Mexican Rice (vgn),Ensalada Cubana (vgn),Chef's Choice,Cuban Style Black Beans & Rice (vgn),Chef's Choice,Yellow Rice ,Chef's Choice,Roasted Root Vegetables ,Chef's Choice
Radish and Jalapeno Slaw (vgn),Shredded Braised Beef,Chef's Choice,Baked Rigatoni (v),Chef's Choice,Fried Eggs ,Chef's Choice,Roasted Yam w/Rosemary & Chile ,Chef's Choice
Refried Black Beans (vgn),Potato Gorda with Black Beans ,Chef's Choice,Chipotle Roasted Potatoes (vgn),Chef's Choice,Roasted Potato Wedges ,Chef's Choice,Red Potatoes with Rosemary (vgn),Chef's Choice
